recipient,amount
0x808312a67016Fd0d404a1752ed9aC07D30c1e067,20
0xE4d2926412b5D6239AD2cF7a60Cf97c829e8A50A,23
0x8316C206e3874f3f299B29c22e9e5DA49B574f92,23
0x8Cf0A50B25ADb63f4c4Af2350467B70146e81f3e,10
0x6b421fF976401050558A54261d2130C949d47EbC,23
0xc7C62645d960B5Ebff541c4cbe1a1BAF33659bf4,15
0x880DfA8021b8DB511a1605f83AF45A9a40B7946C,10
0x4fbD6573A842cb92b41436cc232fDC0790881BC9,7
0x00Ad7C3f58F5b4BBbcb211395d6C93ce88F36FAb,23
0xC900AA3ce5727bC3067DE0548b3b2ac47dA08b0E,10
0x7CD1003a3160d8f727AaA601838caC333F3CbFbb,15
0xf1741A79893B66cc5cba0DC832EDDAfE8eC3eAe7,23
0x14a40776Bb2811Eb3cb61Df60d92b31767384F57,10
0xa055D596fd651f472e77a1cC11928A6f906738c8,9
0x8ee74DB8b94FdFd42Ac84754334040E4B9A30A47,7
0x341c27F04Cc4dF7B6e083b419Cc41F3190109188,15
0x324e5e13bfE7b9cC52D0903391E31771E80292dd,23
0xbd11586008A0f45ab7EB5BC7108831a6014DADec,20
0x0d31E841De01968f9De74fF4469f4a1960d70DE6,10
0x801c7d42bCa69455cEA72b2Bd1D831d269572C58,23
0x36617F0F2E89f7E345406740D90F1723D35B6b9e,15
0xc055021368899048E84ABB97f1b8Fff1Dc11aE26,7
0x305D25616f038b1C982FBC1AD9090b76db8b489d,23
0xc65b50D5a716BdB5Dd156cE35181d63435eA41B1,23
0x2F327eb2a79e1c71C10c99eA320BDCcee252d607,10
0xe9d502a87D13714e338b2BCb1BfaaE9420985441,15
0xf2aAE0CA07EB553D70301bc655E0852c8785B2C3,9
0x996aE67aFF535d8F05dfBB3b9B0A745a08B85dD7,10
0x9A82b2fe863aA235F5aBdF9328263F36BC6f448E,7
0x0A63E0486A3637116F30f5925b6015082Bd9d437,23
0x1406f0B761f2889fD7e1e4C1c992BdfD59c34D4a,15
0x51ce2931cf3F004ccE154fa5Fc493B2d84DF0650,23
0x789A87CBdE9b1bE9a19EA5D0197Dd0490b7493da,23
0x5b179915A608f7e41e47D812dda848Fc1cF49e87,10
0x965EAFF96F133Aba1D1993adf164A129835de78a,20
0x442459Db5a832953F5926c5266cAf8a7AA353c85,7
0xf3dDdfAec02642B8FC8628f75A0acaADb5A81f35,10
0x67693F2b2cdab35D95F45F205C5bceaC996B32d9,23
0x07C57DD174B03c94df4C432E0CA2279e7e860b12,23
0x4D094A23cE33118A128E0db9Cf43F5B14e5Cab40,9
0x2c885CE53184B9112a17fed48fdB7cE03C5C48Ea,15
0x3f20aCb52dEa30983E36eD4bf254246969c10466,23
0x124823185994267CA4865E12F88781498F514441,7
0x582EAB93a63237fDd09B4C2730882893265b7Bfb,23
0x9c76abD7f702BD735146C128FDee6463D7346AC5,23
0x179ED1D2e6C7c5fF7C7B3859320943918efdA330,15
0x98c1d360e05b9a61A45dFE0A611c02e4C95288Ff,23
0x18c9673E7f3Ead45b4E27A368B304e0F986Abb63,23
0x1C313939166Ec973BbF0367B7685326E54990590,10
0xB1F405f43766A0162D9ad862ADCfa74762FcbD53,7
0x3672dE48FE80794643a1D497eCCf0f151700ED03,15
0xbdB770a11113F79Ad8dfF58Ff9792e23DB7D0064,20
