recipient,amount
0x038E949623dC819977c302221d831e794e5E7190,10
0xe8FeaF09De55c8ab3D602434b1dE82953157cbC4,10
0x04D45aCA47E8415a6e0181aEDeA0E0a47A82df22,10
0xBA0886b286374BCC8754699775c05fe86b165705,10
0x2EfdF63402611F00B376ff4D050cf20C3848c182,10
0x5AB32aA9AA4362d37B91ADeA475F975c5b8b49D6,3
0x43908643e7906222d3dD1437fEAD192fa0ef00B0,10
0xa71bC6aA09b069F8BcE18F10f38fAB344066c20F,10
0x72bD87a5E6AeDB332050461296fdCE228A3807C3,10
0x5e09574f1F694c52eEa1F574eD997E5b7eB4eC57,15
0x14A80f839a03c94Aff362902071253df31A98b90,15
0x7B44dFeE5801d1c8948056521855b841CA60fC49,15
0x535B1dA051EBf66eB49Ae94E045e139817Ab95a3,15
0x08bBE1e879B5b6564BCbc82e6D4F9Fa291CD6D6E,15
0x99B31aB606F5e63F87987E0408236855b98B2a97,17
0x34590e5b719b526e09E45d28422cEE61C39f33C8,20
0xe4ae6999ad4e93326E4266340f7fa9b689630514,20
0xfc908e40e23AB895a034a3daB9b2FB301D1b7A00,20
0xd9204D84E1859f19DDAB7961dA221d2989fd068A,20
0x204566687a7665945b5D239d35eCe46f28392733,20
0xebA389c00512ECe0fA328c1134e5120C9D272ef9,20
0xFbcF09f17922045BaF3f07d6EE3319EbdC541F4D,3
0x7DC47f4C227e22DA6C81fCB4c253d1DC18BeC4A3,20
0xD130CC3653eA2Fe7737Ad2905A93eafdA16734Bc,20
0x78AB7FAeDf5250E89B4e4c502a5f0389d2261B43,20
0x672f3f29A07257b625C90D235C6B486eeB8D8915,20
0xD13Fa40833C4C6B4D948EAAbC18097AcDA56C2cd,20
0xeA53ccB71257441F7C669A026208BACf38EefeFe,20
0xb0924Af46a8A3FdCc4B9c8207e50fBeA84e327Ee,20
0x626cc6f9093b746f3Ee46393b17F6E7c801e8ddA,17
0x163C970aA7464B517A7741cb42B3246A5a27902c,20
0x3c79b07868389e71D7e84e6f1Bb77F6A437D6969,20
0x354807E8Cb24d270647e753a46EB6e1CAA0b6611,20
0xcf314A7ac9B893597C0A658CBC7F716F58ec2c97,20
