ID,DATA_G1_ADD,RSLT_G1_ADD,INDEX,CT,IS_FIRST_INPUT,IS_SECOND_INPUT,CIRCUIT_SELECTOR_G1_ADD,CIRCUIT_SELECTOR_C1_MEMBERSHIP,LIMB
0,1,0,0,0,1,0,1,0,0x00000000000000000000000000000000
0,1,0,1,1,1,0,1,0,0x00000000000000000000000000000000
0,1,0,2,2,1,0,1,0,0x00000000000000000000000000000000
0,1,0,3,3,1,0,1,0,0x00000000000000000000000000000000
0,1,0,4,4,1,0,1,0,0x00000000000000000000000000000000
0,1,0,5,5,1,0,1,0,0x00000000000000000000000000000000
0,1,0,6,6,1,0,1,0,0x00000000000000000000000000000000
0,1,0,7,7,1,0,1,0,0x00000000000000000000000000000000
0,1,0,8,0,0,1,1,0,0x00000000000000000000000000000000
0,1,0,9,1,0,1,1,0,0x00000000000000000000000000000000
0,1,0,10,2,0,1,1,0,0x00000000000000000000000000000000
0,1,0,11,3,0,1,1,0,0x00000000000000000000000000000000
0,1,0,12,4,0,1,1,0,0x00000000000000000000000000000000
0,1,0,13,5,0,1,1,0,0x00000000000000000000000000000000
0,1,0,14,6,0,1,1,0,0x00000000000000000000000000000000
0,1,0,15,7,0,1,1,0,0x00000000000000000000000000000000
0,0,1,0,0,0,0,1,0,0x00000000000000000000000000000000
0,0,1,1,1,0,0,1,0,0x00000000000000000000000000000000
0,0,1,2,2,0,0,1,0,0x00000000000000000000000000000000
0,0,1,3,3,0,0,1,0,0x00000000000000000000000000000000
0,0,1,4,4,0,0,1,0,0x00000000000000000000000000000000
0,0,1,5,5,0,0,1,0,0x00000000000000000000000000000000
0,0,1,6,6,0,0,1,0,0x00000000000000000000000000000000
0,0,1,7,7,0,0,1,0,0x00000000000000000000000000000000
1,1,0,0,0,1,0,1,0,0x00000000000000000000000000000000
1,1,0,1,1,1,0,1,0,0x00000000000000000000000000000000
1,1,0,2,2,1,0,1,0,0x00000000000000000000000000000000
1,1,0,3,3,1,0,1,0,0x00000000000000000000000000000000
1,1,0,4,4,1,0,1,0,0x00000000000000000000000000000000
1,1,0,5,5,1,0,1,0,0x00000000000000000000000000000000
1,1,0,6,6,1,0,1,0,0x00000000000000000000000000000000
1,1,0,7,7,1,0,1,0,0x00000000000000000000000000000000
1,1,0,8,0,0,1,1,0,0x00000000000000000000000000000000
1,1,0,9,1,0,1,1,0,0x13c26e7657948efaa73daf89d0e538f1
1,1,0,10,2,0,1,1,0,0x965c9ea46d23745ba94de670518524ee
1,1,0,11,3,0,1,1,0,0xa6c8b71074adc9b69e8e39458bf20415
1,1,0,12,4,0,1,1,0,0x00000000000000000000000000000000
1,1,0,13,5,0,1,1,0,0x0cc880f69ed360d4afe4bcee167ca0e1
1,1,0,14,6,0,1,1,0,0x0eac2bdb6b057c94f13f712b985b5d5e
1,1,0,15,7,0,1,1,0,0xcb1d70654d053e7b0fe80c06ab69825b
1,0,1,0,0,0,0,1,0,0x00000000000000000000000000000000
1,0,1,1,1,0,0,1,0,0x13c26e7657948efaa73daf89d0e538f1
1,0,1,2,2,0,0,1,0,0x965c9ea46d23745ba94de670518524ee
1,0,1,3,3,0,0,1,0,0xa6c8b71074adc9b69e8e39458bf20415
1,0,1,4,4,0,0,1,0,0x00000000000000000000000000000000
