ID,DATA_MAP_FP_TO_G1,RSLT_MAP_FP_TO_G1,INDEX,CT,IS_FIRST_INPUT,IS_SECOND_INPUT,CIRCUIT_SELECTOR_MAP_FP_TO_G1,LIMB
0,1,0,0,0,1,0,1,0x00000000000000000000000000000000
0,1,0,1,1,1,0,1,0x00000000000000000000000000000000
0,1,0,2,2,1,0,1,0x00000000000000000000000000000000
0,1,0,3,3,1,0,1,0x00000000000000000000000000000000
0,0,1,0,0,0,0,1,0x00000000000000000000000000000000
0,0,1,1,1,0,0,1,0x11a9a0372b8f332d5c30de9ad14e5037
0,0,1,2,2,0,0,1,0x2a73fa4c45d5f2fa5097f2d6fb93bcac
0,0,1,3,3,0,0,1,0x592f2e1711ac43db0519870c7d0ea415
0,0,1,4,4,0,0,1,0x00000000000000000000000000000000
0,0,1,5,5,0,0,1,0x092c0f994164a0719f51c24ba3788de2
0,0,1,6,6,0,0,1,0x40ff926b55f58c445116e8bc6a47cd63
0,0,1,7,7,0,0,1,0x392fd4e8e22bdf9feaa96ee773222133
1,1,0,0,0,1,0,1,0x00000000000000000000000000000000
1,1,0,1,1,1,0,1,0x029b313ffe57dac9c1319fce24e3633b
1,1,0,2,2,1,0,1,0x330300d4d99d54b95f6ea3a8ccf05452
1,1,0,3,3,1,0,1,0xc4426fc175783434006a9178f9da8261
1,0,1,0,0,0,0,1,0x00000000000000000000000000000000
1,0,1,1,1,0,0,1,0x186c4d80933bc6388c79e9e499f2ed4e
1,0,1,2,2,0,0,1,0x2a5ea7b285addb4d3a7ec1f5ec302d7f
1,0,1,3,3,0,0,1,0xb9b7a213202236cc8dd4d4cff2ec2e69
1,0,1,4,4,0,0,1,0x00000000000000000000000000000000
1,0,1,5,5,0,0,1,0x0f79d287e069ca7633b6a2360b67ea24
1,0,1,6,6,0,0,1,0x0e205fa9e3509c547d892dd081fb1853
1,0,1,7,7,0,0,1,0x1cf4d4155d02a6ea866e2a3066bcc478
