ID,DATA_G2_ADD,RSLT_G2_ADD,INDEX,CT,IS_FIRST_INPUT,IS_SECOND_INPUT,CIRCUIT_SELECTOR_G2_ADD,CIRCUIT_SELECTOR_MEMBERSHIP,LIMB
0,1,0,0,0,1,0,1,0,0x00000000000000000000000000000000
0,1,0,1,1,1,0,1,0,0x00000000000000000000000000000000
0,1,0,2,2,1,0,1,0,0x00000000000000000000000000000000
0,1,0,3,3,1,0,1,0,0x00000000000000000000000000000000
0,1,0,4,4,1,0,1,0,0x00000000000000000000000000000000
0,1,0,5,5,1,0,1,0,0x00000000000000000000000000000000
0,1,0,6,6,1,0,1,0,0x00000000000000000000000000000000
0,1,0,7,7,1,0,1,0,0x00000000000000000000000000000000
0,1,0,8,8,1,0,1,0,0x00000000000000000000000000000000
0,1,0,9,9,1,0,1,0,0x00000000000000000000000000000000
0,1,0,10,10,1,0,1,0,0x00000000000000000000000000000000
0,1,0,11,11,1,0,1,0,0x00000000000000000000000000000000
0,1,0,12,12,1,0,1,0,0x00000000000000000000000000000000
0,1,0,13,13,1,0,1,0,0x00000000000000000000000000000000
0,1,0,14,14,1,0,1,0,0x00000000000000000000000000000000
0,1,0,15,15,1,0,1,0,0x00000000000000000000000000000000
0,1,0,16,0,0,1,1,0,0x00000000000000000000000000000000
0,1,0,17,1,0,1,1,0,0x00000000000000000000000000000000
0,1,0,18,2,0,1,1,0,0x00000000000000000000000000000000
0,1,0,19,3,0,1,1,0,0x00000000000000000000000000000000
0,1,0,20,4,0,1,1,0,0x00000000000000000000000000000000
0,1,0,21,5,0,1,1,0,0x00000000000000000000000000000000
0,1,0,22,6,0,1,1,0,0x00000000000000000000000000000000
0,1,0,23,7,0,1,1,0,0x00000000000000000000000000000000
0,1,0,24,8,0,1,1,0,0x00000000000000000000000000000000
0,1,0,25,9,0,1,1,0,0x00000000000000000000000000000000
0,1,0,26,10,0,1,1,0,0x00000000000000000000000000000000
0,1,0,27,11,0,1,1,0,0x00000000000000000000000000000000
0,1,0,28,12,0,1,1,0,0x00000000000000000000000000000000
0,1,0,29,13,0,1,1,0,0x00000000000000000000000000000000
0,1,0,30,14,0,1,1,0,0x00000000000000000000000000000000
0,1,0,31,15,0,1,1,0,0x00000000000000000000000000000000
0,0,1,0,0,0,0,1,0,0x00000000000000000000000000000000
0,0,1,1,1,0,0,1,0,0x00000000000000000000000000000000
0,0,1,2,2,0,0,1,0,0x00000000000000000000000000000000
0,0,1,3,3,0,0,1,0,0x00000000000000000000000000000000
0,0,1,4,4,0,0,1,0,0x00000000000000000000000000000000
0,0,1,5,5,0,0,1,0,0x00000000000000000000000000000000
0,0,1,6,6,0,0,1,0,0x00000000000000000000000000000000
0,0,1,7,7,0,0,1,0,0x00000000000000000000000000000000
0,0,1,8,8,0,0,1,0,0x00000000000000000000000000000000
0,0,1,9,9,0,0,1,0,0x00000000000000000000000000000000
0,0,1,10,10,0,0,1,0,0x00000000000000000000000000000000
0,0,1,11,11,0,0,1,0,0x00000000000000000000000000000000
0,0,1,12,12,0,0,1,0,0x00000000000000000000000000000000
0,0,1,13,13,0,0,1,0,0x00000000000000000000000000000000
0,0,1,14,14,0,0,1,0,0x00000000000000000000000000000000
0,0,1,15,15,0,0,1,0,0x00000000000000000000000000000000
