ID,DATA_MAP_FP2_TO_G2,RSLT_MAP_FP2_TO_G2,INDEX,CT,IS_FIRST_INPUT,IS_SECOND_INPUT,CIRCUIT_SELECTOR_MAP_FP2_TO_G2,LIMB
0,1,0,0,0,1,0,1,0x00000000000000000000000000000000
0,1,0,1,1,1,0,1,0x00000000000000000000000000000000
0,1,0,2,2,1,0,1,0x00000000000000000000000000000000
0,1,0,3,3,1,0,1,0x00000000000000000000000000000000
0,1,0,4,4,1,0,1,0x00000000000000000000000000000000
0,1,0,5,5,1,0,1,0x00000000000000000000000000000000
0,1,0,6,6,1,0,1,0x00000000000000000000000000000000
0,1,0,7,7,1,0,1,0x00000000000000000000000000000000
0,0,1,0,0,0,0,1,0x00000000000000000000000000000000
0,0,1,1,1,0,0,1,0x0a67d12118b5a35bb02d2e86b3ebfa7e
0,0,1,2,2,0,0,1,0x23410db93de39fb06d7025fa95e96ffa
0,0,1,3,3,0,0,1,0x428a7a27c3ae4dd4b40bd251ac658892
0,0,1,4,4,0,0,1,0x00000000000000000000000000000000
0,0,1,5,5,0,0,1,0x018320896ec9eef9d5e619848dc29ce2
0,0,1,6,6,0,0,1,0x66f413d02dd31d9b9d44ec0c79cd61f1
0,0,1,7,7,0,0,1,0x8b075ddba6d7bd20b7ff27a4b324bfce
0,0,1,8,8,0,0,1,0x00000000000000000000000000000000
0,0,1,9,9,0,0,1,0x04c69777a43f0bda07679d5805e63f18
0,0,1,10,10,0,0,1,0xcf4e0e7c6112ac7f70266d199b4f76ae
0,0,1,11,11,0,0,1,0x27c6269a3ceebdae30806e9a76aadf5c
0,0,1,12,12,0,0,1,0x00000000000000000000000000000000
0,0,1,13,13,0,0,1,0x0260e03644d1a2c321256b3246bad2b8
0,0,1,14,14,0,0,1,0x95cad13890cbe6f85df55106a0d33460
0,0,1,15,15,0,0,1,0x4fb143c7a042d878006271865bc35941
1,1,0,0,0,1,0,1,0x00000000000000000000000000000000
1,1,0,1,1,1,0,1,0x00000000000000000000000000000000
1,1,0,2,2,1,0,1,0x00000000000000000000000000000000
1,1,0,3,3,1,0,1,0x00000000000000000000000000000000
1,1,0,4,4,1,0,1,0x00000000000000000000000000000000
1,1,0,5,5,1,0,1,0x0ff21ac2972fbef641097ba46a2b2254
1,1,0,6,6,1,0,1,0xa0a0de0ed44b095e3b555411dc7b8399
1,1,0,7,7,1,0,1,0x445e9476d71bdad0b43b724cc46e89e2
1,0,1,0,0,0,0,1,0x00000000000000000000000000000000
1,0,1,1,1,0,0,1,0x006dc95addff222dd2b42436d734f1f8
1,0,1,2,2,0,0,1,0xf14c0afb22e5433ed6ba0cfdca85093a
1,0,1,3,3,0,0,1,0x6153b28331737be5d5a5ff171db8a7b0
1,0,1,4,4,0,0,1,0x00000000000000000000000000000000
1,0,1,5,5,0,0,1,0x083b05a5053e979be76a8f496f90007c
1,0,1,6,6,0,0,1,0xa15da1c31e9bb3057587d64ff0961316
1,0,1,7,7,0,0,1,0x5bc1d95b4bf7d8fb88afd4a8ba6c5c3f
1,0,1,8,8,0,0,1,0x00000000000000000000000000000000
1,0,1,9,9,0,0,1,0x0c39cf2af532903c8a4dd6ee40e43944
1,0,1,10,10,0,0,1,0xc4b8d8cde45560b956355a65c24e36b9
1,0,1,11,11,0,0,1,0x167de81627ee55c4bab02565157ee5b1
1,0,1,12,12,0,0,1,0x00000000000000000000000000000000
1,0,1,13,13,0,0,1,0x03f060e0ac735fac7429a7ab9ec5f54a
1,0,1,14,14,0,0,1,0xad94425213a8e2cd0c3b619bc1643a8f
1,0,1,15,15,0,0,1,0x8ebea4dbceb82f69fbddf88f08feb3ce
2,1,0,0,0,1,0,1,0x00000000000000000000000000000000
2,1,0,1,1,1,0,1,0x002ac96efeba88ae6b67972003011c47
2,1,0,2,2,1,0,1,0xbf1b78f08201402d088f173919b04d3c
2,1,0,3,3,1,0,1,0xab779dba0783733ad5b79c53a9f21401
2,1,0,4,4,1,0,1,0x00000000000000000000000000000000
2,1,0,5,5,1,0,1,0x00000000000000000000000000000000
2,1,0,6,6,1,0,1,0x00000000000000000000000000000000
2,1,0,7,7,1,0,1,0x00000000000000000000000000000000
2,0,1,0,0,0,0,1,0x00000000000000000000000000000000
2,0,1,1,1,0,0,1,0x0e1003bd937c1e1df3b2af42377f0845
2,0,1,2,2,0,0,1,0x528b0137f652f98c8c44942453eb173e
2,0,1,3,3,0,0,1,0x4dc5c880dcf83469de76b7423f558b6f
2,0,1,4,4,0,0,1,0x00000000000000000000000000000000
2,0,1,5,5,0,0,1,0x104449d43860c9ea5ac73a2c3912fcdb
2,0,1,6,6,0,0,1,0x57fa5543767381c6b4a89da75f56d7d4
2,0,1,7,7,0,0,1,0x413c65f27e15748976e8cd55d622cf9b
2,0,1,8,8,0,0,1,0x00000000000000000000000000000000
2,0,1,9,9,0,0,1,0x06bd58d72a285164f84321dc7ff5d842
2,0,1,10,10,0,0,1,0xb781489c83d334da0148bad9816e6c67
2,0,1,11,11,0,0,1,0xbaaf80716e6ebbe7236d142aff5f5f85
2,0,1,12,12,0,0,1,0x00000000000000000000000000000000
2,0,1,13,13,0,0,1,0x0c631a417c305bcc485f891247208d99
2,0,1,14,14,0,0,1,0x753d0983f42754e094e3642b486fc06d
2,0,1,15,15,0,0,1,0xefae06bd1d13e5bc5822c916b3b22dc4
3,1,0,0,0,1,0,1,0x00000000000000000000000000000000
3,1,0,1,1,1,0,1,0x0d735818719977210b2b0939d28b0abb
3,1,0,2,2,1,0,1,0xc62de175732e179ac46b90f824fddeba
3,1,0,3,3,1,0,1,0xaa937e74fe889b796726723fbc95083d
3,1,0,4,4,1,0,1,0x00000000000000000000000000000000
3,1,0,5,5,1,0,1,0x18f74c184806be4e82c40fde3f4a759a
3,1,0,6,6,1,0,1,0x8133d21d310777b5ed6858ee23814e7c
3,1,0,7,7,1,0,1,0x10a087cd8eeb09ca703ff1b16fd9c2da
3,0,1,0,0,0,0,1,0x00000000000000000000000000000000
3,0,1,1,1,0,0,1,0x10c2657c7d45aea47cba679714303315
3,0,1,2,2,0,0,1,0x55935b107cc69ec752c3e3988f6890c4
3,0,1,3,3,0,0,1,0xaedcf7831fd63db6706d891824eb1163
3,0,1,4,4,0,0,1,0x00000000000000000000000000000000
3,0,1,5,5,0,0,1,0x047b4998e3101bc850f7e92b28cf2384
3,0,1,6,6,0,0,1,0x9c20c20395c77d25cbf254e71790dffc
3,0,1,7,7,0,0,1,0x84e90299ecd98e7c34e2c603db6c41f5
3,0,1,8,8,0,0,1,0x00000000000000000000000000000000
3,0,1,9,9,0,0,1,0x11b0c8752df0bbce4864b68303629db0
3,0,1,10,10,0,0,1,0xfe1b464a0cca0376a8392a1806aee3a3
3,0,1,11,11,0,0,1,0x6b4b72029317920bc61474aa62f421d0
3,0,1,12,12,0,0,1,0x00000000000000000000000000000000
3,0,1,13,13,0,0,1,0x0bad023b864d9b9ee0dfc55c8db38bd1
3,0,1,14,14,0,0,1,0x477dc6ef4992f53401a8f296750e85a6
3,0,1,15,15,0,0,1,0xc3681cd085e1f219da8a77e54c7943e3
