ID,DATA_G2_MSM,RSLT_G2_MSM,INDEX,CT,IS_FIRST_INPUT,IS_SECOND_INPUT,CIRCUIT_SELECTOR_G2_MSM,CIRCUIT_SELECTOR_G2_MEMBERSHIP,LIMB
0,1,0,0,0,1,0,1,0,0x00000000000000000000000000000000
0,1,0,1,1,1,0,1,0,0x00000000000000000000000000000000
0,1,0,2,2,1,0,1,0,0x00000000000000000000000000000000
0,1,0,3,3,1,0,1,0,0x00000000000000000000000000000000
0,1,0,4,4,1,0,1,0,0x00000000000000000000000000000000
0,1,0,5,5,1,0,1,0,0x00000000000000000000000000000000
0,1,0,6,6,1,0,1,0,0x00000000000000000000000000000000
0,1,0,7,7,1,0,1,0,0x00000000000000000000000000000000
0,1,0,8,8,1,0,1,0,0x00000000000000000000000000000000
0,1,0,9,9,1,0,1,0,0x00000000000000000000000000000000
0,1,0,10,10,1,0,1,0,0x00000000000000000000000000000000
0,1,0,11,11,1,0,1,0,0x00000000000000000000000000000000
0,1,0,12,12,1,0,1,0,0x00000000000000000000000000000000
0,1,0,13,13,1,0,1,0,0x00000000000000000000000000000000
0,1,0,14,14,1,0,1,0,0x00000000000000000000000000000000
0,1,0,15,15,1,0,1,0,0x00000000000000000000000000000000
0,1,0,16,0,0,1,1,0,0x00000000000000000000000000000000
0,1,0,17,1,0,1,1,0,0x00000000000000000000000000000000
0,0,1,0,0,0,0,1,0,0x00000000000000000000000000000000
0,0,1,1,1,0,0,1,0,0x00000000000000000000000000000000
0,0,1,2,2,0,0,1,0,0x00000000000000000000000000000000
0,0,1,3,3,0,0,1,0,0x00000000000000000000000000000000
0,0,1,4,4,0,0,1,0,0x00000000000000000000000000000000
0,0,1,5,5,0,0,1,0,0x00000000000000000000000000000000
0,0,1,6,6,0,0,1,0,0x00000000000000000000000000000000
0,0,1,7,7,0,0,1,0,0x00000000000000000000000000000000
0,0,1,8,8,0,0,1,0,0x00000000000000000000000000000000
0,0,1,9,9,0,0,1,0,0x00000000000000000000000000000000
0,0,1,10,10,0,0,1,0,0x00000000000000000000000000000000
0,0,1,11,11,0,0,1,0,0x00000000000000000000000000000000
0,0,1,12,12,0,0,1,0,0x00000000000000000000000000000000
0,0,1,13,13,0,0,1,0,0x00000000000000000000000000000000
0,0,1,14,14,0,0,1,0,0x00000000000000000000000000000000
0,0,1,15,15,0,0,1,0,0x00000000000000000000000000000000
1,1,0,0,0,1,0,0,1,0x00000000000000000000000000000000
1,1,0,1,1,1,0,0,1,0x0ac7cdb011e05d38ff22851eb4b2a0c1
1,1,0,2,2,1,0,0,1,0xb89369a6f13af6a8cec89b9b72264ce5
1,1,0,3,3,1,0,0,1,0xb919c7e4a9ad35d8d884e4bf470d73a5
1,1,0,4,4,1,0,0,1,0x00000000000000000000000000000000
1,1,0,5,5,1,0,0,1,0x09e52340ef8751918daac8b7a1888562
1,1,0,6,6,1,0,0,1,0xd23d753e4bb2b4d6552583de55c23f6a
1,1,0,7,7,1,0,0,1,0x630e387cae07f2d99f7d0925cd3d6b8a
1,1,0,8,8,1,0,0,1,0x00000000000000000000000000000000
1,1,0,9,9,1,0,0,1,0x198e31cbeb3c62d1c4ce9b5656299e72
1,1,0,10,10,1,0,0,1,0xe168f15b534bf0227742df7b42622370
