ID,DATA_PAIRING_CHECK,RSLT_PAIRING_CHECK,INDEX,CT,IS_FIRST_INPUT,IS_SECOND_INPUT,NONTRIVIAL_POP_BIT,CS_PAIRING_CHECK,CS_G1_MEMBERSHIP,CS_G2_MEMBERSHIP,SUCCESS_BIT,ACC_INPUTS,LIMB
0,1,0,0,0,1,0,0,0,0,0,1,1,0x00000000000000000000000000000000
0,1,0,1,1,1,0,0,0,0,0,1,1,0x00000000000000000000000000000000
0,1,0,2,2,1,0,0,0,0,0,1,1,0x00000000000000000000000000000000
0,1,0,3,3,1,0,0,0,0,0,1,1,0x00000000000000000000000000000000
0,1,0,4,4,1,0,0,0,0,0,1,1,0x00000000000000000000000000000000
0,1,0,5,5,1,0,0,0,0,0,1,1,0x00000000000000000000000000000000
0,1,0,6,6,1,0,0,0,0,0,1,1,0x00000000000000000000000000000000
0,1,0,7,7,1,0,0,0,0,0,1,1,0x00000000000000000000000000000000
0,1,0,8,0,0,1,0,0,0,0,1,1,0x00000000000000000000000000000000
0,1,0,9,1,0,1,0,0,0,0,1,1,0x00000000000000000000000000000000
0,1,0,10,2,0,1,0,0,0,0,1,1,0x00000000000000000000000000000000
0,1,0,11,3,0,1,0,0,0,0,1,1,0x00000000000000000000000000000000
0,1,0,12,4,0,1,0,0,0,0,1,1,0x00000000000000000000000000000000
0,1,0,13,5,0,1,0,0,0,0,1,1,0x00000000000000000000000000000000
0,1,0,14,6,0,1,0,0,0,0,1,1,0x00000000000000000000000000000000
0,1,0,15,7,0,1,0,0,0,0,1,1,0x00000000000000000000000000000000
0,1,0,16,8,0,1,0,0,0,0,1,1,0x00000000000000000000000000000000
0,1,0,17,9,0,1,0,0,0,0,1,1,0x00000000000000000000000000000000
0,1,0,18,10,0,1,0,0,0,0,1,1,0x00000000000000000000000000000000
0,1,0,19,11,0,1,0,0,0,0,1,1,0x00000000000000000000000000000000
0,1,0,20,12,0,1,0,0,0,0,1,1,0x00000000000000000000000000000000
0,1,0,21,13,0,1,0,0,0,0,1,1,0x00000000000000000000000000000000
0,1,0,22,14,0,1,0,0,0,0,1,1,0x00000000000000000000000000000000
0,1,0,23,15,0,1,0,0,0,0,1,1,0x00000000000000000000000000000000
0,0,1,0,0,0,0,0,0,0,0,1,1,0
0,0,1,1,1,0,0,0,0,0,0,1,1,1
1,1,0,0,0,1,0,0,0,0,0,1,1,0x00000000000000000000000000000000
1,1,0,1,1,1,0,0,0,0,0,1,1,0x00000000000000000000000000000000
1,1,0,2,2,1,0,0,0,0,0,1,1,0x00000000000000000000000000000000
1,1,0,3,3,1,0,0,0,0,0,1,1,0x00000000000000000000000000000000
1,1,0,4,4,1,0,0,0,0,0,1,1,0x00000000000000000000000000000000
1,1,0,5,5,1,0,0,0,0,0,1,1,0x00000000000000000000000000000000
1,1,0,6,6,1,0,0,0,0,0,1,1,0x00000000000000000000000000000000
1,1,0,7,7,1,0,0,0,0,0,1,1,0x00000000000000000000000000000000
1,1,0,8,0,0,1,0,0,0,1,1,1,0x00000000000000000000000000000000
1,1,0,9,1,0,1,0,0,0,1,1,1,0x19e0de42987a0d6d16afc74b14d1bd16
1,1,0,10,2,0,1,0,0,0,1,1,1,0x156879f37a063e67b46547506b29ab76
1,1,0,11,3,0,1,0,0,0,1,1,1,0x197d10cd5a62da922ea7aad2ae157092
1,1,0,12,4,0,1,0,0,0,1,1,1,0x00000000000000000000000000000000
1,1,0,13,5,0,1,0,0,0,1,1,1,0x040b23e62b08edbdb9e41320f506ca7a
1,1,0,14,6,0,1,0,0,0,1,1,1,0xa20e26914201e092f55a2ea930fe8154
1,1,0,15,7,0,1,0,0,0,1,1,1,0x50b720e1fb0eda525f66243ff333f696
1,1,0,16,8,0,1,0,0,0,1,1,1,0x00000000000000000000000000000000
1,1,0,17,9,0,1,0,0,0,1,1,1,0x09cf026d3a3f51acf1246d34ca38f908
1,1,0,18,10,0,1,0,0,0,1,1,1,0xd1b821db7aa4f0c49e130dae9fe7a783
1,1,0,19,11,0,1,0,0,0,1,1,1,0x22863ee96e74e1d6a872174ed4f7e8b3
1,1,0,20,12,0,1,0,0,0,1,1,1,0x00000000000000000000000000000000
1,1,0,21,13,0,1,0,0,0,1,1,1,0x0ee57a39ca1dd4a4c01549910685d0e6
1,1,0,22,14,0,1,0,0,0,1,1,1,0x10fac3e9531a10ea87dbf27b384484e8
1,1,0,23,15,0,1,0,0,0,1,1,1,0x10cb7c70bbf1ac5e7f15f8e7d987e452
1,0,1,0,0,0,0,0,0,0,0,1,1,0
1,0,1,1,1,0,0,0,0,0,0,1,1,1
2,1,0,0,0,1,0,0,0,0,0,0,1,0x00000000000000000000000000000000
2,1,0,1,1,1,0,0,0,0,0,0,1,0x00000000000000000000000000000000
2,1,0,2,2,1,0,0,0,0,0,0,1,0x00000000000000000000000000000000
2,1,0,3,3,1,0,0,0,0,0,0,1,0x00000000000000000000000000000000
2,1,0,4,4,1,0,0,0,0,0,0,1,0x00000000000000000000000000000000
2,1,0,5,5,1,0,0,0,0,0,0,1,0x00000000000000000000000000000000
2,1,0,6,6,1,0,0,0,0,0,0,1,0x00000000000000000000000000000000
2,1,0,7,7,1,0,0,0,0,0,0,1,0x00000000000000000000000000000000
2,1,0,8,0,0,1,0,0,0,1,0,1,0x00000000000000000000000000000000
2,1,0,9,1,0,1,0,0,0,1,0,1,0x0710f9a71db0b9369445bbee56d98010
2,1,0,10,2,0,1,0,0,0,1,0,1,0x1a5da55b24988479965c241cddeeeca0
2,1,0,11,3,0,1,0,0,0,1,0,1,0xd55071bd14cfca62808e87c64f9dda1b
2,1,0,12,4,0,1,0,0,0,1,0,1,0x00000000000000000000000000000000
2,1,0,13,5,0,1,0,0,0,1,0,1,0x0fd0eb3b3ae8084fe91da597ba6bf906
2,1,0,14,6,0,1,0,0,0,1,0,1,0x84d10d2f9bf11e07b6825cdef5ffcc4e
2,1,0,15,7,0,1,0,0,0,1,0,1,0x3d36752689819f9d2b9ccdcb46401b52
2,1,0,16,8,0,1,0,0,0,1,0,1,0x00000000000000000000000000000000
2,1,0,17,9,0,1,0,0,0,1,0,1,0x12893fd8d77839efc2caccca44e1936e
2,1,0,18,10,0,1,0,0,0,1,0,1,0xf22d4014de41ab5bbb614df39a020bb4
2,1,0,19,11,0,1,0,0,0,1,0,1,0x9116a2ff1fc2b9a8207b737e870af258
2,1,0,20,12,0,1,0,0,0,1,0,1,0x00000000000000000000000000000000
2,1,0,21,13,0,1,0,0,0,1,0,1,0x110d229e4372759ff5499d8d47e1959d
2,1,0,22,14,0,1,0,0,0,1,0,1,0x08b0f2c065d6da880a6f5fa94a94ff52
2,1,0,23,15,0,1,0,0,0,1,0,1,0x175bb4b492d136b5b5fd884c46fa52f1
2,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,1,1,0,0,0,0,0,0,0,1,0
3,1,0,0,0,1,0,0,0,0,0,0,1,0x00000000000000000000000000000000
3,1,0,1,1,1,0,0,0,0,0,0,1,0x00000000000000000000000000000000
3,1,0,2,2,1,0,0,0,0,0,0,1,0x00000000000000000000000000000000
3,1,0,3,3,1,0,0,0,0,0,0,1,0x00000000000000000000000000000000
3,1,0,4,4,1,0,0,0,0,0,0,1,0x00000000000000000000000000000000
3,1,0,5,5,1,0,0,0,0,0,0,1,0x00000000000000000000000000000000
3,1,0,6,6,1,0,0,0,0,0,0,1,0x00000000000000000000000000000000
3,1,0,7,7,1,0,0,0,0,0,0,1,0x00000000000000000000000000000000
