ECDATA_ID,ECDATA_CS_PAIRING,ECDATA_CS_G2_MEMBERSHIP,ECDATA_INDEX,ECDATA_TOTAL_PAIRINGS,ECDATA_ACC_PAIRINGS,ECDATA_LIMB,ECDATA_SUCCESS_BIT,ECDATA_IS_DATA,ECDATA_IS_RES
0,1,0,0,2,1,0x13364879816394e38a2d72bde23bda93,1,1,0
0,1,0,1,2,1,0xcd39885c6bfdedbc45e6bafcfc8fa685,1,1,0
0,1,0,2,2,1,0x0e0e4c9d03746d287b341d52461946a1,1,1,0
0,1,0,3,2,1,0xc865002c35ba9bd6b789fc26a526d121,1,1,0
0,1,0,4,2,1,0x0e82be8514331e947408a3a27a54d580,1,1,0
0,1,0,5,2,1,0x9866db37d74db5abc7de8f0d3d0f7ee3,1,1,0
0,1,0,6,2,1,0x0f89c9a7bb2eb9418d2d89310306196d,1,1,0
0,1,0,7,2,1,0xf1ae8d9de0173f3e1151487bb5157cd7,1,1,0
0,1,0,8,2,1,0x10b30b9925aace81dcec2ccce77c3eea,1,1,0
0,1,0,9,2,1,0xa949c366d7cd71a6a6748bcdd996b762,1,1,0
0,1,0,10,2,1,0x11497987c563ade267b3bdfcc9c04022,1,1,0
0,1,0,11,2,1,0x3e25664c3bcdd28858b1daa7ac249034,1,1,0
0,1,0,12,2,2,0x0b9624a62e115247146d4643e8d4daf0,1,1,0
0,1,0,13,2,2,0x7ff180000fcf9f02c84cc5692b2c0526,1,1,0
0,1,0,14,2,2,0x1cb9908c06bf3099f1538277102b31e3,1,1,0
0,1,0,15,2,2,0x1d022dc64770bc130df14daef72830e4,1,1,0
0,1,0,16,2,2,0x2977858b214a3cb43fa4024976dd1675,1,1,0
0,1,0,17,2,2,0x9b1bf5367e6318da3545e697b9931671,1,1,0
0,1,0,18,2,2,0x06fcfd4b9ca03fb145ff273e480efda3,1,1,0
0,1,0,19,2,2,0xc8a7aef64882efcbd8920b4458e1ef3d,1,1,0
0,1,0,20,2,2,0x281508326108309778f9cdf9c39a4c4d,1,1,0
0,1,0,21,2,2,0xc90a405c0cfbfd5d20fec4e47acce66f,1,1,0
0,1,0,22,2,2,0x10d24b6f0b87c1e3f78b80b967bac765,1,1,0
0,1,0,23,2,2,0x763f38c53a4377e9a97e2761758a92f1,1,1,0
0,1,0,0,2,0,0x0,1,0,1
0,1,0,1,2,0,0x1,1,0,1
