ECDATA_ID,ECDATA_CS_PAIRING,ECDATA_CS_G2_MEMBERSHIP,ECDATA_INDEX,ECDATA_ACC_PAIRINGS,ECDATA_TOTAL_PAIRINGS,ECDATA_LIMB_0,ECDATA_LIMB_1,ECDATA_LIMB_2,ECDATA_LIMB_3,ECDATA_LIMB_4,ECDATA_LIMB_5,ECDATA_LIMB_6,ECDATA_LIMB_7,ECDATA_SUCCESS_BIT,ECDATA_IS_DATA,ECDATA_IS_RES
0,1,0,0,1,2,0x219d,0xb76f,0xd15c,0x77e9,0x2376,0xec7c,0xcdf3,0x795a,1,1,0
0,1,0,1,1,2,0x96b2,0x0b52,0x1116,0x027d,0x63df,0x9d7a,0x4d76,0xbcef,1,1,0
0,1,0,2,1,2,0x0692,0xf74f,0xd48f,0x12f9,0x4554,0x6eb1,0xdaaa,0x688b,1,1,0
0,1,0,3,1,2,0xe31e,0xf7b9,0xf633,0x8c8c,0x452d,0x69a3,0x86f0,0xa098,1,1,0
0,1,0,4,1,2,0x0f67,0x9eca,0x6f21,0xe702,0xc561,0x3627,0x661a,0x31b7,1,1,0
0,1,0,5,1,2,0xa5b9,0x9a76,0x6175,0xa8ce,0xebad,0xf121,0x35d8,0xc0a0,1,1,0
0,1,0,6,1,2,0x0a23,0xa443,0x1ea9,0xca09,0xeb57,0x87a8,0xa0a7,0xbb52,1,1,0
0,1,0,7,1,2,0x30a7,0xcf5d,0xc4fb,0xf71e,0xdbda,0x6ae0,0xfaca,0x4000,1,1,0
0,1,0,8,1,2,0x0715,0x261e,0x3e5e,0xb799,0x1d5d,0xbe83,0xf4cd,0x963c,1,1,0
0,1,0,9,1,2,0xd8eb,0x1975,0xc583,0x8015,0x73dc,0x432c,0x2c67,0x7165,1,1,0
0,1,0,10,1,2,0x142e,0xd84e,0x0254,0x68f2,0xaa7a,0x6fe5,0x0839,0xc23a,1,1,0
0,1,0,11,1,2,0xa3e9,0x9559,0x088d,0x5328,0x9092,0xe02f,0xfd59,0xe84d,1,1,0
0,1,0,12,2,2,0x1ae8,0x00da,0x67a6,0xc22f,0x94d0,0x5578,0xd136,0x1f25,1,1,0
0,1,0,13,2,2,0x422a,0x9f47,0x8669,0x101d,0x5b11,0x7f57,0xfcb7,0x41e1,1,1,0
0,1,0,14,2,2,0x15de,0xd9e4,0x0e54,0x89c8,0x2b47,0x3115,0xf1d4,0xb409,1,1,0
0,1,0,15,2,2,0x9e93,0xaa99,0x6ad2,0x346e,0x8b46,0xa2aa,0x0db7,0x832c,1,1,0
0,1,0,16,2,2,0x2e1b,0x4d36,0x165d,0xbb3f,0x0366,0x4c4e,0x7718,0x1c95,1,1,0
0,1,0,17,2,2,0x285a,0x1f1b,0xb08f,0xac15,0x99d9,0xc060,0x9508,0x5cf0,1,1,0
0,1,0,18,2,2,0x286d,0xcf3f,0xe302,0xf14b,0x9df2,0xd191,0x19a9,0x7c81,1,1,0
0,1,0,19,2,2,0x70a6,0x8443,0xdafe,0x5001,0xdcc4,0x50ab,0xf66c,0xb1b9,1,1,0
0,1,0,20,2,2,0x23e5,0xcf5e,0x441d,0x3d12,0xe4b6,0x3d4d,0x16ee,0xa2dd,1,1,0
0,1,0,21,2,2,0xdc60,0x05a7,0x9a59,0xc812,0xfbd4,0x0508,0x7069,0x1a91,1,1,0
0,1,0,22,2,2,0x11cf,0xc60f,0xf4ce,0xb85b,0x8af4,0x1334,0x7b76,0x0f13,1,1,0
0,1,0,23,2,2,0x4325,0xaead,0x086b,0x2761,0xe0a1,0x6039,0xab1f,0x12aa,1,1,0
0,1,0,0,0,2,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,1,0,1
0,1,0,1,0,2,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,1,0,1
