ECDATA_ID,ECDATA_CS_PAIRING,ECDATA_CS_G2_MEMBERSHIP,ECDATA_INDEX,ECDATA_ACC_PAIRINGS,ECDATA_TOTAL_PAIRINGS,ECDATA_LIMB_0,ECDATA_LIMB_1,ECDATA_LIMB_2,ECDATA_LIMB_3,ECDATA_LIMB_4,ECDATA_LIMB_5,ECDATA_LIMB_6,ECDATA_LIMB_7,ECDATA_SUCCESS_BIT,ECDATA_IS_DATA,ECDATA_IS_RES
0,0,1,0,0,0,0x1d3d,0xf5be,0x6084,0x324d,0xa633,0x3a6a,0xd136,0x7091,0,1,0
0,0,1,1,0,0,0xca9f,0xbceb,0x7017,0x9ec4,0x8454,0x3a58,0xb8cb,0x5d63,0,1,0
0,0,1,2,0,0,0x1196,0x06e6,0xd3ea,0x97ce,0xa4ef,0xf544,0x33f5,0xc7db,0,1,0
0,0,1,3,0,0,0xc026,0xb8d0,0x670d,0xdfbe,0x6441,0xe312,0x2502,0x8d31,0,1,0
0,0,1,4,0,0,0x199a,0x1224,0x7d5a,0xd88d,0xfaca,0x291a,0xe8b2,0x326b,0,1,0
0,0,1,5,0,0,0x1b0b,0x8c0e,0xfd5e,0x083d,0x0bc8,0xb411,0xa9d4,0x8e59,0,1,0
0,0,1,6,0,0,0x1b9a,0x36ea,0x373f,0xe2c5,0xb713,0x5570,0x42ce,0x6deb,0,1,0
0,0,1,7,0,0,0x2907,0xd34e,0x12be,0x595f,0x9bbe,0x84c1,0x44de,0x86ef,0,1,0
1,0,1,0,0,0,0x15ce,0x93f1,0xb1c4,0x946d,0xd6cf,0xbb3d,0x287d,0x9c9a,0,1,0
1,0,1,1,0,0,0x1cde,0xdb26,0x4bda,0x7aad,0xa084,0x4416,0xd8a4,0x7a63,0,1,0
1,0,1,2,0,0,0x0719,0x2b9f,0xd0e2,0xa32e,0x3e1c,0xaa8e,0x5946,0x2b75,0,1,0
1,0,1,3,0,0,0x7326,0xd48f,0x6419,0x24e6,0xa1d0,0x0d66,0x4789,0x13eb,0,1,0
1,0,1,4,0,0,0x06e1,0xf5e2,0x0f68,0xf6df,0xa8a9,0x1a3b,0xea04,0x8df6,0,1,0
1,0,1,5,0,0,0x6d9e,0xaf56,0xcc7f,0x1121,0x5401,0xf7e0,0x5027,0xe0c6,0,1,0
1,0,1,6,0,0,0x0fa6,0x5a9b,0x48ba,0x0183,0x61ed,0x081e,0x3b9e,0x9584,0,1,0
1,0,1,7,0,0,0x51de,0x5d9e,0x8ae0,0xbd25,0x1833,0xebb4,0xb2fa,0xfc96,0,1,0
2,0,1,0,0,0,0x0e82,0xbe85,0x1433,0x1e94,0x7408,0xa3a2,0x7a54,0xd580,1,1,0
2,0,1,1,0,0,0x9866,0xdb37,0xd74d,0xb5ab,0xc7de,0x8f0d,0x3d0f,0x7ee3,1,1,0
2,0,1,2,0,0,0x0f89,0xc9a7,0xbb2e,0xb941,0x8d2d,0x8931,0x0306,0x196d,1,1,0
2,0,1,3,0,0,0xf1ae,0x8d9d,0xe017,0x3f3e,0x1151,0x487b,0xb515,0x7cd7,1,1,0
2,0,1,4,0,0,0x10b3,0x0b99,0x25aa,0xce81,0xdcec,0x2ccc,0xe77c,0x3eea,1,1,0
2,0,1,5,0,0,0xa949,0xc366,0xd7cd,0x71a6,0xa674,0x8bcd,0xd996,0xb762,1,1,0
2,0,1,6,0,0,0x1149,0x7987,0xc563,0xade2,0x67b3,0xbdfc,0xc9c0,0x4022,1,1,0
2,0,1,7,0,0,0x3e25,0x664c,0x3bcd,0xd288,0x58b1,0xdaa7,0xac24,0x9034,1,1,0
