ECDATA_CS_PAIRING,ECDATA_ID,ECDATA_LIMB,ECDATA_SUCCESS_BIT,ECDATA_INDEX,ECDATA_IS_DATA,ECDATA_IS_RES,ECDATA_ACC_PAIRINGS,ECDATA_TOTAL_PAIRINGS,ECDATA_CS_G2_MEMBERSHIP
0,29563,0x0,1,0,1,0,1,4,0
0,29563,0x0,1,1,1,0,1,4,0
0,29563,0x0,1,2,1,0,1,4,0
0,29563,0x0,1,3,1,0,1,4,0
0,29563,0x0,1,4,1,0,1,4,0
0,29563,0x0,1,5,1,0,1,4,0
0,29563,0x0,1,6,1,0,1,4,0
0,29563,0x0,1,7,1,0,1,4,0
0,29563,0x0,1,8,1,0,1,4,0
0,29563,0x0,1,9,1,0,1,4,0
0,29563,0x0,1,10,1,0,1,4,0
0,29563,0x0,1,11,1,0,1,4,0
1,29563,0x27c69626be302e46df0af1982d621c7b,1,12,1,0,2,4,0
1,29563,0x358571d44f0c65c9207af46b2e4b9594,1,13,1,0,2,4,0
1,29563,0x120b258a7d2bb21e213159d01dd4364f,1,14,1,0,2,4,0
1,29563,0xa11f02c47337b94e73ce1ad65ee10ada,1,15,1,0,2,4,0
1,29563,0xb7c8b8c2f08ad05c14efdb53212ef50,1,16,1,0,2,4,0
1,29563,0x1ac66ce991a90c10c22608a6ef0c6daf,1,17,1,0,2,4,0
1,29563,0xda86f1aa7f003fc49ba5257f6a1a31b,1,18,1,0,2,4,0
1,29563,0x762fb2a71e26b2bf972ad9c5ce50aabd,1,19,1,0,2,4,0
1,29563,0x20b3c0f5090994b976afe7fa30002668,1,20,1,0,2,4,0
1,29563,0x9547288c6611bf5bb913d706309817fc,1,21,1,0,2,4,0
1,29563,0x1b55dc31de4c20571c178adea2e97fc6,1,22,1,0,2,4,0
1,29563,0xb5745f4727165ab056c3150134fa6856,1,23,1,0,2,4,0
1,29563,0x1996a3bf3f09f5c3d609d0341d07a22a,1,24,1,0,3,4,0
1,29563,0x30cc16bfe7e74afdd0770ff169502c92,1,25,1,0,3,4,0
1,29563,0x2c8c2d7e802418dea505c1856cb9f95b,1,26,1,0,3,4,0
1,29563,0x1ca0a26bec7e4f73d03e9958dff2081a,1,27,1,0,3,4,0
1,29563,0x198e9393920d483a7260bfb731fb5d25,1,28,1,0,3,4,0
1,29563,0xf1aa493335a9e71297e485b7aef312c2,1,29,1,0,3,4,0
1,29563,0x1800deef121f1e76426a00665e5c4479,1,30,1,0,3,4,0
1,29563,0x674322d4f75edadd46debd5cd992f6ed,1,31,1,0,3,4,0
1,29563,0x90689d0585ff075ec9e99ad690c3395,1,32,1,0,3,4,0
1,29563,0xbc4b313370b38ef355acdadcd122975b,1,33,1,0,3,4,0
1,29563,0x12c85ea5db8c6deb4aab71808dcb408f,1,34,1,0,3,4,0
1,29563,0xe3d1e7690c43d37b4ce6cc0166fa7daa,1,35,1,0,3,4,0
0,29563,0x0,1,36,1,0,4,4,0
0,29563,0x0,1,37,1,0,4,4,0
0,29563,0x0,1,38,1,0,4,4,0
0,29563,0x0,1,39,1,0,4,4,0
0,29563,0xed5b8a199985a625f5a0b6a44275b4c,1,40,1,0,4,4,1
0,29563,0x48874ea094387e322a9a65548e55baaf,1,41,1,0,4,4,1
0,29563,0x14c46c51fbb5b9e3d065addbcdd76571,1,42,1,0,4,4,1
0,29563,0x12f73bbcdfecec743c83cd36cd6a11a0,1,43,1,0,4,4,1
0,29563,0xa898f0e4144460a4a5a7018ceea8ab5,1,44,1,0,4,4,1
0,29563,0x6732baf61e32b9873d6cef5cb8457cbe,1,45,1,0,4,4,1
0,29563,0x3f6ad521b15ce41febd3ec0579fa48f,1,46,1,0,4,4,1
0,29563,0xd563b64f31711e6e2b133b1fc2dd4588,1,47,1,0,4,4,1
1,29563,0,1,0,0,1,0,4,0
1,29563,0,1,1,0,1,0,4,0
