ID,DATA_P256_VERIFY_FLAG,RSLT_P256_VERIFY_FLAG,INDEX,LIMB,CIRCUIT_SELECTOR_P256_VERIFY
0,1,0,0,0xbb5a52f42f9c9261ed4361f59422a1e3,1
0,1,0,1,0x0036e7c32b270c8807a419feca605023,1
0,1,0,2,0x2ba3a8be6b94d5ec80a6d9d1190a436e,1
0,1,0,3,0xffe50d85a1eee859b8cc6af9bd5c2e18,1
0,1,0,4,0x4cd60b855d442f5b3c7b11eb6c4e0ae7,1
0,1,0,5,0x525fe710fab9aa7c77a67f79e6fadd76,1
0,1,0,6,0x2927b10512bae3eddcfe467828128bad,1
0,1,0,7,0x2903269919f7086069c8c4df6c732838,1
0,1,0,8,0xc7787964eaac00e5921fb1498a60f460,1
0,1,0,9,0x6766b3d9685001558d1a974e7341513e,1
0,0,1,0,0,1
0,0,1,1,1,1
1,1,0,0,0xbb5a52f42f9c9261ed4361f59422a1e3,1
1,1,0,1,0x0036e7c32b270c8807a419feca605023,1
1,1,0,2,0xd45c5740946b2a147f59262ee6f5bc90,1
1,1,0,3,0xbd01ed280528b62b3aed5fc93f06f739,1
1,1,0,4,0xb329f479a2bbd0a5c384ee1493b1f518,1
1,1,0,5,0x6a87139cac5df4087c134b49156847db,1
1,1,0,6,0x2927b10512bae3eddcfe467828128bad,1
1,1,0,7,0x2903269919f7086069c8c4df6c732838,1
1,1,0,8,0xc7787964eaac00e5921fb1498a60f460,1
1,1,0,9,0x6766b3d9685001558d1a974e7341513e,1
1,0,1,0,0,1
1,0,1,1,0,1
2,1,0,0,0xbb5a52f42f9c9261ed4361f59422a1e3,1
2,1,0,1,0x0036e7c32b270c8807a419feca605023,1
2,1,0,2,0xd45c5741946b2a137f59262ee6f5bc91,1
2,1,0,3,0x001af27a5e1117a64733950642a3d1e8,1
2,1,0,4,0xb329f479a2bbd0a5c384ee1493b1f518,1
2,1,0,5,0x6a87139cac5df4087c134b49156847db,1
2,1,0,6,0x2927b10512bae3eddcfe467828128bad,1
2,1,0,7,0x2903269919f7086069c8c4df6c732838,1
2,1,0,8,0xc7787964eaac00e5921fb1498a60f460,1
2,1,0,9,0x6766b3d9685001558d1a974e7341513e,1
2,0,1,0,0,1
2,0,1,1,0,1
3,1,0,0,0xbb5a52f42f9c9261ed4361f59422a1e3,1
3,1,0,1,0x0036e7c32b270c8807a419feca605023,1
3,1,0,2,0x2ba3a8be6b94d5ec80a6d9d1190a436e,1
3,1,0,3,0xffe50d85a1eee859b8cc6af9bd5c2e18,1
3,1,0,4,0x4cd60b865d442f5a3c7b11eb6c4e0ae7,1
3,1,0,5,0x9578ec6353a20bf783ecb4b6ea97b825,1
