SS_IS_ACTIVE,SS_IS_STORAGE,SS_INITIAL_POSEIDON2_0,SS_INITIAL_POSEIDON2_1,SS_INITIAL_POSEIDON2_2,SS_INITIAL_POSEIDON2_3,SS_INITIAL_POSEIDON2_4,SS_INITIAL_POSEIDON2_5,SS_INITIAL_POSEIDON2_6,SS_INITIAL_POSEIDON2_7,SS_INITIAL_POSEIDON2_8,SS_INITIAL_POSEIDON2_9,SS_INITIAL_POSEIDON2_10,SS_INITIAL_POSEIDON2_11,SS_INITIAL_POSEIDON2_12,SS_INITIAL_POSEIDON2_13,SS_INITIAL_POSEIDON2_14,SS_INITIAL_POSEIDON2_15,SS_FINAL_POSEIDON2_0,SS_FINAL_POSEIDON2_1,SS_FINAL_POSEIDON2_2,SS_FINAL_POSEIDON2_3,SS_FINAL_POSEIDON2_4,SS_FINAL_POSEIDON2_5,SS_FINAL_POSEIDON2_6,SS_FINAL_POSEIDON2_7,SS_FINAL_POSEIDON2_8,SS_FINAL_POSEIDON2_9,SS_FINAL_POSEIDON2_10,SS_FINAL_POSEIDON2_11,SS_FINAL_POSEIDON2_12,SS_FINAL_POSEIDON2_13,SS_FINAL_POSEIDON2_14,SS_FINAL_POSEIDON2_15,STATE_SUMMARY_SS_INITIAL_KECCAK_HI_0,STATE_SUMMARY_SS_INITIAL_KECCAK_HI_1,STATE_SUMMARY_SS_INITIAL_KECCAK_HI_2,STATE_SUMMARY_SS_INITIAL_KECCAK_HI_3,STATE_SUMMARY_SS_INITIAL_KECCAK_HI_4,STATE_SUMMARY_SS_INITIAL_KECCAK_HI_5,STATE_SUMMARY_SS_INITIAL_KECCAK_HI_6,STATE_SUMMARY_SS_INITIAL_KECCAK_HI_7,STATE_SUMMARY_SS_INITIAL_KECCAK_LO_0,STATE_SUMMARY_SS_INITIAL_KECCAK_LO_1,STATE_SUMMARY_SS_INITIAL_KECCAK_LO_2,STATE_SUMMARY_SS_INITIAL_KECCAK_LO_3,STATE_SUMMARY_SS_INITIAL_KECCAK_LO_4,STATE_SUMMARY_SS_INITIAL_KECCAK_LO_5,STATE_SUMMARY_SS_INITIAL_KECCAK_LO_6,STATE_SUMMARY_SS_INITIAL_KECCAK_LO_7,STATE_SUMMARY_SS_FINAL_KECCAK_HI_0,STATE_SUMMARY_SS_FINAL_KECCAK_HI_1,STATE_SUMMARY_SS_FINAL_KECCAK_HI_2,STATE_SUMMARY_SS_FINAL_KECCAK_HI_3,STATE_SUMMARY_SS_FINAL_KECCAK_HI_4,STATE_SUMMARY_SS_FINAL_KECCAK_HI_5,STATE_SUMMARY_SS_FINAL_KECCAK_HI_6,STATE_SUMMARY_SS_FINAL_KECCAK_HI_7,STATE_SUMMARY_SS_FINAL_KECCAK_LO_0,STATE_SUMMARY_SS_FINAL_KECCAK_LO_1,STATE_SUMMARY_SS_FINAL_KECCAK_LO_2,STATE_SUMMARY_SS_FINAL_KECCAK_LO_3,STATE_SUMMARY_SS_FINAL_KECCAK_LO_4,STATE_SUMMARY_SS_FINAL_KECCAK_LO_5,STATE_SUMMARY_SS_FINAL_KECCAK_LO_6,STATE_SUMMARY_SS_FINAL_KECCAK_LO_7,SS_INITIAL_EXISTS,SS_FINAL_EXISTS
1,0,0xa491,0x1c51,0xc9a7,0xa2b9,0xf7b9,0x7f26,845,0xb81b,0x67b2,0xfb1e,0xcb97,0x2047,0xbcac,0xe732,0x726e,0xc47a,0x3add,0xa142,0xd789,0x277d,0xdb4c,0xa9c0,0x1044,0xd5bd,0xab1f,0x4698,0x186a,0xc191,0x687b,0x20c0,0xa5a9,0xc4c6,0xf67d,0x4416,0xda00,0x1d26,0x653d,0xd553,0x76e6,0x7fee,0xe2ce,0x9b53,0x28ce,0x33d0,0x182d,0x1c75,0xc8fc,0x25a3,0x5495,0xf91c,0x9916,0x5c69,0x95f8,0xffe1,0x4516,0x83f7,0x372b,0xb525,0x661a,0x23dc,0x7423,0x1424,0x1b46,0x55eb,1,1
1,0,0x2454,0xc956,0x6130,0x645f,0xeadd,0x5eac,0xa948,0x142a,0xedde,0xadc,0x4a48,0x4488,0xc493,0x5d92,0x8e31,0x4bd2,0xe5df,0xb1e5,0xdad3,0x909e,0xc065,0x5b0d,0xb63b,0x57f9,0x6ab8,0x59d,0x477d,0xd93b,0x4e03,0x82dd,0xe0b,0x74cc,0x40e8,0x7503,0x291d,0xdfc9,0xb2f7,0x1747,0x668d,0xc2b8,0xb476,0xde90,0x1cb5,0xad65,0x6dbd,0xe606,0xe9e7,0xf28f,0x3a43,0xfa28,0xfed1,0x9257,0x1758,0xc03f,0xb025,0xff34,0xcb2a,0xc05b,0xcdf8,0x7629,0x15f0,0x5b0,0x5b7c,0x84d7,1,1
1,1,0x2454,0xc956,0x6130,0x645f,0xeadd,0x5eac,0xa948,0x142a,0xedde,0xadc,0x4a48,0x4488,0xc493,0x5d92,0x8e31,0x4bd2,0xe5df,0xb1e5,0xdad3,0x909e,0xc065,0x5b0d,0xb63b,0x57f9,0x6ab8,0x59d,0x477d,0xd93b,0x4e03,0x82dd,0xe0b,0x74cc,0x40e8,0x7503,0x291d,0xdfc9,0xb2f7,0x1747,0x668d,0xc2b8,0xb476,0xde90,0x1cb5,0xad65,0x6dbd,0xe606,0xe9e7,0xf28f,0x3a43,0xfa28,0xfed1,0x9257,0x1758,0xc03f,0xb025,0xff34,0xcb2a,0xc05b,0xcdf8,0x7629,0x15f0,0x5b0,0x5b7c,0x84d7,1,1
1,1,0x2454,0xc956,0x6130,0x645f,0xeadd,0x5eac,0xa948,0x142a,0xedde,0xadc,0x4a48,0x4488,0xc493,0x5d92,0x8e31,0x4bd2,0xe5df,0xb1e5,0xdad3,0x909e,0xc065,0x5b0d,0xb63b,0x57f9,0x6ab8,0x59d,0x477d,0xd93b,0x4e03,0x82dd,0xe0b,0x74cc,0x40e8,0x7503,0x291d,0xdfc9,0xb2f7,0x1747,0x668d,0xc2b8,0xb476,0xde90,0x1cb5,0xad65,0x6dbd,0xe606,0xe9e7,0xf28f,0x3a43,0xfa28,0xfed1,0x9257,0x1758,0xc03f,0xb025,0xff34,0xcb2a,0xc05b,0xcdf8,0x7629,0x15f0,0x5b0,0x5b7c,0x84d7,1,1
1,1,0x2454,0xc956,0x6130,0x645f,0xeadd,0x5eac,0xa948,0x142a,0xedde,0xadc,0x4a48,0x4488,0xc493,0x5d92,0x8e31,0x4bd2,0xe5df,0xb1e5,0xdad3,0x909e,0xc065,0x5b0d,0xb63b,0x57f9,0x6ab8,0x59d,0x477d,0xd93b,0x4e03,0x82dd,0xe0b,0x74cc,0x40e8,0x7503,0x291d,0xdfc9,0xb2f7,0x1747,0x668d,0xc2b8,0xb476,0xde90,0x1cb5,0xad65,0x6dbd,0xe606,0xe9e7,0xf28f,0x3a43,0xfa28,0xfed1,0x9257,0x1758,0xc03f,0xb025,0xff34,0xcb2a,0xc05b,0xcdf8,0x7629,0x15f0,0x5b0,0x5b7c,0x84d7,1,1
1,0,0xf48d,0xfe40,0xb8a5,0x4d26,0x6718,0xf0ec,0x5ca6,0xc6ed,0x5a22,0x18a6,0x99ea,0x346a,0x22c8,0x7b67,0x9918,0xee79,0x8051,0x2ccb,0x33ac,0xf9a7,32,0x8fc6,0x5cd4,0x5e94,0x3180,0x64a3,0x2735,0x1914,0x6a34,0x4031,0xfe74,0x8d92,0x54df,0x737a,0xc005,0xb708,0xc1f3,0x20f8,0x348b,0x57c4,0x4f76,0xa3e2,0x3b16,0x4eb9,0x58d9,0x85d0,0xc46,0x4fce,0x5e41,0x4bac,0x8de6,0x484b,0x16c2,0x6890,0x6d21,0xbfe6,0x6407,0x5d8d,0xb573,0x761,0x2ce4,0x2d52,0xe4e1,0x3c74,1,1
1,0,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee,1,1
1,0,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee,1,1
1,0,0xc751,0xe87d,0x34b6,0xe98c,0xfdfe,0x3d16,0x9d78,0xba19,0x9683,0x94f0,0xd805,0x5498,587,0xe25a,0xa2ff,0xd4f9,0x819a,0xe644,0x139a,0xf93f,0x1614,0x6b0b,0x8491,0x552f,0x2cba,0x17d6,0x846a,0x4c8a,0x4867,0xd290,833,0xe563,0x7886,0xf8ca,0x4e03,0x4b73,0x3212,0x3cee,0x9d17,0x77ea,0x566f,0xa427,0x8813,0x6176,0xf7ae,0x6301,0x6b12,0xe2d8,0x5c82,0x57ad,0x4235,0x1127,0xabeb,0x7228,0xd647,0x39bb,0x5b60,0xfc5d,0xa377,0xa2e2,0x305d,0x9d59,0xb4cb,0x8bb1,1,1
1,0,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x81f9,0x2fd4,0x9638,0x9d54,0x9a05,0x17bf,0xa257,0xf1f3,0x98f3,0xac2b,0xcfd2,0x87ae,0xaca,0x7ea2,0xfdf5,0xe21e,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee,0x7b58,0x305e,0xb2aa,0x3ff8,0xe9b4,0x9192,0xb482,0x2685,0x84e6,0x4175,0x82b8,0x2df6,0x4c84,0x659a,0x3951,0x3fee,1,1
